Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Exon/CD	chr2r	009165697	009167587	FBtr0301527	Rad51C-RB	+	+1010	NA	NA	NA
Exon/CD	chr2r	009175924	009177261	FBtr0339370	Rme-8-RB	-	+0669	NA	NA	NA
Intron	chr2r	009184096	009184518	FBtr0089934	ltd-RC	-	+2035	NA	NA	NA
Exon/CD	chr2r	009184601	009186322	FBtr0089934	ltd-RC	-	+0881	NA	NA	NA
Intron	chr2r	009188583	009192105	FBtr0344530	CG45085-RB	-	+1752	NA	NA	NA
Upstream	chr2r	009194585	009195681	FBtr0088586	unpg-RA	+	-0072	NA	NA	NA
Upstream	chr2r	009206016	009209029	FBtr0088587	VhaAC45-RB	+	-0039	NA	NA	NA
Intron	chr2r	009239964	009240646	FBtr0088607	hig-RA	-	+6944	NA	NA	NA
Intron	chr2r	009242378	009242813	FBtr0088607	hig-RA	-	+4654	NA	NA	NA
Exon/CD	chr2r	009252013	009252443	FBtr0308205	CG30343-RB	+	+0207	NA	NA	NA
Upstream	chr2r	009281700	009281974	FBtr0344909	CR45132-RA	+	-3008	NA	NA	NA
Upstream	chr2r	009282336	009285046	FBtr0344909	CR45132-RA	+	-1154	NA	NA	NA
Upstream	chr2r	009285216	009288179	FBtr0088600	CG2063-RA	-	-0063	NA	NA	NA
Exon/CD	chr2r	009290057	009291761	FBtr0088599	Mad1-RA	-	+0656	NA	NA	NA
5'UTR	chr2r	009292194	009292505	FBtr0304798	Drep2-RC	+	+0492	NA	NA	NA
5'UTR	chr2r	009306961	009308764	FBtr0333000	Myd88-RB	-	+0860	NA	NA	NA
Upstream	chr2r	009389432	009389694	FBtr0302504	l(2)03659-RB	+	-0602	NA	NA	NA
5'UTR	chr2r	009397020	009400319	FBtr0300649	Non1-RB	-	+0065	NA	NA	NA
Intron	chr2r	009407790	009408264	FBtr0088553	wun-RA	-	+1465	NA	NA	NA
Intron	chr2r	009408325	009410021	FBtr0088553	wun-RA	-	+0319	NA	NA	NA
Intron	chr2r	009412528	009413405	FBtr0088552	wun-RB	-	+0497	NA	NA	NA
5'UTR	chr2r	009414404	009415396	FBtr0339380	wun2-RB	+	+0558	NA	NA	NA
Exon/CD	chr2r	009423831	009425672	FBtr0300293	prel-RB	+	+0664	NA	NA	NA
Intron	chr2r	009426542	009428370	FBtr0112892	Pdk-RB	+	+1017	NA	NA	NA
Intron	chr2r	009429869	009430863	FBtr0112892	Pdk-RB	+	+3927	NA	NA	NA
Intron	chr2r	009431668	009432052	FBtr0112892	Pdk-RB	+	+5421	NA	NA	NA
Exon/CD	chr2r	009432533	009432862	FBtr0112892	Pdk-RB	+	+6258	NA	NA	NA
Intron	chr2r	009437329	009442015	FBtr0088550	ced-6-RA	-	+1214	NA	NA	NA
Intron	chr2r	009442067	009443521	FBtr0306808	ced-6-RD	-	+2143	NA	NA	NA
Intron	chr2r	009444242	009444775	FBtr0306808	ced-6-RD	-	+0429	NA	NA	NA
Upstream	chr2r	009444827	009445286	FBtr0306808	ced-6-RD	-	-0119	NA	NA	NA
Intron	chr2r	009445979	009447365	FBtr0299845	Camta-RB	+	+0626	NA	NA	NA
Intron	chr2r	009494905	009495854	FBtr0088512	Wnt2-RA	+	+1213	NA	NA	NA
Exon/CD	chr2r	009545410	009545620	FBtr0310032	CG1888-RC	-	+1443	NA	NA	NA
Intron	chr2r	009545768	009546987	FBtr0310032	CG1888-RC	-	+0581	NA	NA	NA
Upstream	chr2r	009550291	009552641	FBtr0310104	CR43651-RA	+	-1378	NA	NA	NA
Exon/CD	chr2r	009552799	009553355	FBtr0310105	CR43651-RB	+	+0233	NA	NA	NA
Downstream	chr2r	009553507	009555048	FBtr0304458	mir-14-RM	+	+0515	NA	NA	NA
Exon/CD	chr2r	009564653	009565073	FBtr0345574	CR45281-RB	-	+0183	NA	NA	NA
Downstream	chr2r	009565662	009566084	FBtr0304957	Not1-RG	-	+13134	NA	NA	NA
3'UTR	chr2r	009566359	009566710	FBtr0304957	Not1-RG	-	+12473	NA	NA	NA
Exon/CD	chr2r	009575748	009575967	FBtr0304957	Not1-RG	-	+3150	NA	NA	NA
5'UTR	chr2r	009576096	009581333	FBtr0304957	Not1-RG	-	+0293	NA	NA	NA
Exon/CD	chr2r	009582358	009582756	FBtr0339393	CG1868-RC	-	+1725	NA	NA	NA
Intron	chr2r	009582830	009587019	FBtr0088524	Updo-RA	+	+0281	NA	NA	NA
Intron	chr2r	009587127	009592453	FBtr0305178	clos-RD	-	+9942	NA	NA	NA
Intron	chr2r	009594014	009595267	FBtr0088533	CG30338-RA	+	+0595	NA	NA	NA
Exon/CD	chr2r	009602615	009602929	FBtr0088534	CG30339-RA	-	+0129	NA	NA	NA
Exon/CD	chr2r	009603818	009604180	FBtr0088532	CG1902-RC	+	+0278	NA	NA	NA
Exon/CD	chr2r	009604285	009608076	FBtr0088463	GstT1-RA	+	+0192	NA	NA	NA
Intron	chr2r	009690713	009693388	FBtr0088499	Uba1-RA	-	+1278	NA	NA	NA
Exon/CD	chr2r	009712285	009713710	FBtr0088469	dap-RA	+	+0676	NA	NA	NA
Intron	chr2r	009744237	009745209	FBtr0299930	sqa-RC	-	+0550	NA	NA	NA
Intron	chr2r	009793393	009794405	FBtr0336935	CG1698-RB	+	+0573	NA	NA	NA
Exon/CD	chr2r	009812543	009812757	FBtr0339403	CG1648-RC	-	+7403	NA	NA	NA
Intron	chr2r	009813485	009813756	FBtr0088493	CG1648-RA	-	+6433	NA	NA	NA
Intron	chr2r	009813860	009814096	FBtr0088493	CG1648-RA	-	+6075	NA	NA	NA
Intron	chr2r	009814588	009814930	FBtr0088493	CG1648-RA	-	+5294	NA	NA	NA
Downstream	chr2r	009818816	009819993	FBtr0088476	lectin-46Ca-RA	+	+2104	NA	NA	NA
Exon/CD	chr2r	009821937	009822911	FBtr0088492	CG30001-RA	-	+0531	NA	NA	NA
Intron	chr2r	009830404	009831175	FBtr0088490	hebe-RE	-	+0567	NA	NA	NA
Intron	chr2r	009831431	009831836	FBtr0113061	hebe-RF	-	+1939	NA	NA	NA
Intron	chr2r	009832230	009833496	FBtr0113061	hebe-RF	-	+0709	NA	NA	NA
Intron	chr2r	009833765	009834205	FBtr0088487	hebe-RD	-	+2657	NA	NA	NA
5'UTR	chr2r	009835721	009838418	FBtr0088477	CG1663-RA	+	+0084	NA	NA	NA
Intron	chr2r	009838563	009843256	FBtr0088478	CG1665-RA	+	+1133	NA	NA	NA
Exon/CD	chr2r	009843307	009845046	FBtr0345019	CG1667-RB	+	+0379	NA	NA	NA
Intron	chr2r	009845544	009849745	FBtr0089998	Prosalpha7-RA	-	+0192	NA	NA	NA
Exon/CD	chr2r	009855224	009856522	FBtr0088459	PCB-RB	-	+0537	NA	NA	NA
Intron	chr2r	009856832	009857194	FBtr0300850	PCB-RM	-	+3746	NA	NA	NA
Intron	chr2r	009857412	009858508	FBtr0300850	PCB-RM	-	+2799	NA	NA	NA
Intron	chr2r	009858626	009861980	FBtr0300850	PCB-RM	-	+0456	NA	NA	NA
Downstream	chr2r	009862305	009862779	FBtr0339405	CR44293-RA	+	+1397	NA	NA	NA
Exon/CD	chr2r	009863474	009866631	FBtr0088453	cbx-RB	-	+0550	NA	NA	NA
Exon/CD	chr2r	009871768	009872151	FBtr0088376	CG18446-RA	+	+0489	NA	NA	NA
Exon/CD	chr2r	009875224	009876026	FBtr0088377	CG12744-RA	+	+0344	NA	NA	NA
Exon/CD	chr2r	009880433	009880664	FBtr0339406	Sec24AB-RB	-	+1809	NA	NA	NA
Exon/CD	chr2r	009880928	009882295	FBtr0345976	CR45467-RA	+	+0215	NA	NA	NA
Exon/CD	chr2r	009890400	009891666	FBtr0088380	CG30008-RA	+	+1155	NA	NA	NA
Exon/CD	chr2r	009891934	009892952	FBtr0300919	CG30007-RC	+	+0488	NA	NA	NA
Exon/CD	chr2r	009910867	009912021	FBtr0308338	Etf-QO-RB	+	+0551	NA	NA	NA
Intron	chr2r	009924930	009925531	FBtr0088445	Mef2-RC	-	+4385	NA	NA	NA
Intron	chr2r	009925879	009926302	FBtr0088445	Mef2-RC	-	+3525	NA	NA	NA
Intron	chr2r	009926573	009927377	FBtr0088445	Mef2-RC	-	+2640	NA	NA	NA
Intron	chr2r	009927601	009929627	FBtr0088445	Mef2-RC	-	+1001	NA	NA	NA
Upstream	chr2r	009930154	009930395	FBtr0088446	Mef2-RB	-	-0659	NA	NA	NA
Exon/CD	chr2r	009957490	009961234	FBtr0088441	CG15863-RA	-	+0370	NA	NA	NA
Exon/CD	chr2r	009963967	009965080	FBtr0088440	CG1418-RA	-	+0544	NA	NA	NA
3'UTR	chr2r	009969062	009972548	FBtr0339425	Adam-RB	+	+1741	NA	NA	NA
Exon/CD	chr2r	009988209	009988877	FBtr0345681	CR45324-RA	-	+0742	NA	NA	NA
Intron	chr2r	009989209	009990930	FBtr0112906	TER94-RD	+	+0753	NA	NA	NA
Intron	chr2r	010023560	010026067	FBtr0088438	Pka-R2-RB	-	+1229	NA	NA	NA
Exon/CD	chr2r	010026308	010028280	FBtr0088393	CG12128-RA	+	+0455	NA	NA	NA
Upstream	chr2r	010031687	010034530	FBtr0088395	CG12129-RA	+	-0196	NA	NA	NA
Exon/CD	chr2r	010039555	010039845	FBtr0345630	oys-RE	-	+8919	NA	NA	NA
Intron	chr2r	010039960	010040398	FBtr0339416	oys-RB	-	+8440	NA	NA	NA
Exon/CD	chr2r	010043874	010044255	FBtr0344611	CR44295-RB	+	+0029	NA	NA	NA
Downstream	chr2r	010044608	010046189	FBtr0344611	CR44295-RB	+	+1363	NA	NA	NA
Upstream	chr2r	010046338	010048761	FBtr0339412	COX7C-RD	+	-0804	NA	NA	NA
Intron	chr2r	010048933	010052281	FBtr0339413	CG44296-RA	+	+0259	NA	NA	NA
5'UTR	chr2r	010052413	010053258	FBtr0113062	magu-RF	+	+0294	NA	NA	NA
Exon/CD	chr2r	010056811	010057864	FBtr0088402	magu-RB	+	+0511	NA	NA	NA
Intron	chr2r	010058530	010058852	FBtr0088402	magu-RB	+	+1865	NA	NA	NA
Exon/CD	chr2r	010065412	010068801	FBtr0304041	mRpL42-RB	+	+0323	NA	NA	NA
Intron	chr2r	010073902	010075677	FBtr0088428	CG1371-RA	-	+0856	NA	NA	NA
5'UTR	chr2r	010078457	010079347	FBtr0088406	egr-RB	+	+0536	NA	NA	NA
Intron	chr2r	010097046	010104454	FBtr0088415	14-3-3zeta-RE	+	+1073	NA	NA	NA
Exon/CD	chr2r	010104743	010105193	FBtr0332917	14-3-3zeta-RL	+	+0853	NA	NA	NA
Exon/CD	chr2r	010110776	010112256	FBtr0088421	Pfk-RC	+	+0646	NA	NA	NA
Exon/CD	chr2r	010112489	010112856	FBtr0088421	Pfk-RC	+	+1802	NA	NA	NA
Intron	chr2r	010117628	010119694	FBtr0304926	dmpd-RB	+	+0967	NA	NA	NA
Exon/CD	chr2r	010120579	010121055	FBtr0304926	dmpd-RB	+	+3123	NA	NA	NA
Exon/CD	chr2r	010121578	010122627	FBtr0333068	Ccs-RC	-	+0472	NA	NA	NA
5'UTR	chr2r	010123100	010127538	FBtr0089758	gem-RC	+	+1026	NA	NA	NA
Intron	chr2r	010127725	010128035	FBtr0346634	gem-RG	+	+1968	NA	NA	NA
Intron	chr2r	010128637	010128988	FBtr0346634	gem-RG	+	+2900	NA	NA	NA
Exon/CD	chr2r	010135052	010135908	FBtr0339428	gem-RF	+	+0159	NA	NA	NA
Exon/CD	chr2r	010142343	010143675	FBtr0088332	CG18011-RA	+	+0671	NA	NA	NA
Exon/CD	chr2r	010156404	010158643	FBtr0331945	mlt-RC	-	+1061	NA	NA	NA
5'UTR	chr2r	010227130	010227896	FBtr0306345	Hr46-RF	-	+0444	NA	NA	NA
Intron	chr2r	010250934	010252378	FBtr0088335	CG12913-RA	+	+2436	NA	NA	NA
Intron	chr2r	010271851	010272812	FBtr0299829	CAP-RO	+	+0447	NA	NA	NA
Intron	chr2r	010273025	010273270	FBtr0299829	CAP-RO	+	+1263	NA	NA	NA
Intron	chr2r	010275016	010275386	FBtr0299829	CAP-RO	+	+3317	NA	NA	NA
5'UTR	chr2r	010275608	010277209	FBtr0088340	CAP-RG	+	+0743	NA	NA	NA
Exon/CD	chr2r	010279188	010279894	FBtr0299826	CAP-RL	+	+0805	NA	NA	NA
5'UTR	chr2r	010303076	010304386	FBtr0299828	CAP-RN	+	+0522	NA	NA	NA
Upstream	chr2r	010308519	010311244	FBtr0088360	JhI-1-RB	-	-0087	NA	NA	NA
Exon/CD	chr2r	010314100	010314559	FBtr0088349	Ndg-RA	+	+0438	NA	NA	NA
Exon/CD	chr2r	010420705	010420975	FBtr0088316	CG11825-RA	-	+0229	NA	NA	NA
Intron	chr2r	010421637	010422078	FBtr0329868	CG11825-RD	-	+0051	NA	NA	NA
Intron	chr2r	010422193	010422863	FBtr0329867	CG11825-RC	-	+1122	NA	NA	NA
Intron	chr2r	010423328	010423709	FBtr0329867	CG11825-RC	-	+0132	NA	NA	NA
Upstream	chr2r	010428654	010429611	FBtr0088263	RanBPM-RA	+	-0576	NA	NA	NA
Intron	chr2r	010429791	010431217	FBtr0330614	RanBPM-RF	+	+0499	NA	NA	NA
Exon/CD	chr2r	010436536	010437461	FBtr0330615	CG12895-RB	-	+0384	NA	NA	NA
Intron	chr2r	010437888	010439737	FBtr0088270	Galphao-RG	+	+0206	NA	NA	NA
5'UTR	chr2r	010467435	010469505	FBtr0088310	Caf1-105-RA	-	+0070	NA	NA	NA
Intron	chr2r	010472731	010475608	FBtr0088308	whd-RB	-	+1312	NA	NA	NA
Intron	chr2r	010475831	010476044	FBtr0088307	whd-RA	-	+2630	NA	NA	NA
Intron	chr2r	010476130	010476692	FBtr0088307	whd-RA	-	+2156	NA	NA	NA
Intron	chr2r	010477019	010478945	FBtr0088307	whd-RA	-	+0585	NA	NA	NA
Intron	chr2r	010479076	010481468	FBtr0088274	CG17765-RA	+	+0109	NA	NA	NA
Intron	chr2r	010527961	010528216	FBtr0089347	lola-RG	-	+13582	NA	NA	NA
Intron	chr2r	010528341	010528549	FBtr0089347	lola-RG	-	+13225	NA	NA	NA
Intron	chr2r	010529802	010530052	FBtr0089347	lola-RG	-	+11743	NA	NA	NA
Intron	chr2r	010530762	010531413	FBtr0089347	lola-RG	-	+10583	NA	NA	NA
Exon/CD	chr2r	010531716	010535058	FBtr0089347	lola-RG	-	+8283	NA	NA	NA
Downstream	chr2r	010535139	010536774	FBtr0309765	snoRNA	-	+0704	NA	NA	NA
Upstream	chr2r	010537006	010538182	FBtr0309782	snoRNA	-	-0324	NA	NA	NA
Upstream	chr2r	010538290	010543351	FBtr0344916	CR45135-RA	+	-0775	NA	NA	NA
Downstream	chr2r	010543471	010544910	FBtr0445179	acal-RA	-	+3070	NA	NA	NA
Exon/CD	chr2r	010545248	010545495	FBtr0445179	acal-RA	-	+1889	NA	NA	NA
Intron	chr2r	010557740	010559778	FBtr0088282	psq-RC	+	+0871	NA	NA	NA
Intron	chr2r	010559880	010560446	FBtr0088282	psq-RC	+	+2275	NA	NA	NA
Intron	chr2r	010569195	010570515	FBtr0088280	psq-RG	+	+0633	NA	NA	NA
Intron	chr2r	010583736	010585438	FBtr0100606	psq-RJ	+	+0901	NA	NA	NA
Intron	chr2r	010599883	010600151	FBtr0100606	psq-RJ	+	+16331	NA	NA	NA
Intron	chr2r	010617634	010618420	FBtr0088284	CG11883-RA	+	+0365	NA	NA	NA
Intron	chr2r	010618652	010618930	FBtr0088284	CG11883-RA	+	+1129	NA	NA	NA
Upstream	chr2r	010644291	010646930	FBtr0088212	Elp2-RA	+	-0125	NA	NA	NA
Upstream	chr2r	010658181	010658548	FBtr0340511	CR44452-RA	-	-0819	NA	NA	NA
Intron	chr2r	010673514	010675151	FBtr0304900	stan-RE	+	+0987	NA	NA	NA
Intron	chr2r	010675608	010676096	FBtr0304900	stan-RE	+	+2507	NA	NA	NA
Intron	chr2r	010729991	010735129	FBtr0088217	CG7220-RC	+	+0994	NA	NA	NA
Intron	chr2r	010735232	010737310	FBtr0088218	CG7220-RB	+	+0596	NA	NA	NA
Exon/CD	chr2r	010738738	010739886	FBtr0088255	Mat1-RA	-	+0517	NA	NA	NA
Intron	chr2r	010777578	010777882	FBtr0302517	CG33144-RB	-	+20979	NA	NA	NA
Intron	chr2r	010781063	010783032	FBtr0302517	CG33144-RB	-	+16662	NA	NA	NA
Exon/CD	chr2r	010805322	010805653	FBtr0339467	wde-RB	-	+1050	NA	NA	NA
Intron	chr2r	010805875	010809110	FBtr0088253	wde-RA	-	+1446	NA	NA	NA
Intron	chr2r	010809480	010812037	FBtr0088252	CG7637-RA	-	+0178	NA	NA	NA
5'UTR	chr2r	010812197	010815247	FBtr0088223	CG7222-RA	+	+0173	NA	NA	NA
Exon/CD	chr2r	010818739	010821975	FBtr0088224	Prosbeta5-RB	+	+0379	NA	NA	NA
5'UTR	chr2r	010822144	010824594	FBtr0088247	CG12343-RA	-	+0003	NA	NA	NA
Exon/CD	chr2r	010837271	010838703	FBtr0339475	CG7686-RB	-	+0740	NA	NA	NA
Intron	chr2r	010851903	010852368	FBtr0331939	CG30015-RG	-	+2015	NA	NA	NA
Intron	chr2r	010852753	010854012	FBtr0331939	CG30015-RG	-	+0768	NA	NA	NA
Exon/CD	chr2r	010874834	010877199	FBtr0088228	nclb-RA	+	+0268	NA	NA	NA
Exon/CD	chr2r	010877953	010879728	FBtr0088240	Taf5-RA	-	+0833	NA	NA	NA
Exon/CD	chr2r	010879879	010881239	FBtr0339472	Pex6-RD	+	+0585	NA	NA	NA
Exon/CD	chr2r	010883643	010884793	FBtr0100230	CG18003-RB	+	+0671	NA	NA	NA
Downstream	chr2r	010885129	010886342	FBtr0304339	mir-1008-RM	+	+0202	NA	NA	NA
Exon/CD	chr2r	010886727	010888182	FBtr0339521	CG30020-RC	+	+0644	NA	NA	NA
Exon/CD	chr2r	010888457	010888701	FBtr0339521	CG30020-RC	+	+1769	NA	NA	NA
5'UTR	chr2r	010893057	010895770	FBtr0088239	cag-RA	-	+0001	NA	NA	NA
Exon/CD	chr2r	010896010	010899046	FBtr0331936	ND-B14-RB	-	+0357	NA	NA	NA
Intron	chr2r	011097850	011098154	FBtr0333066	luna-RC	-	+8814	NA	NA	NA
Intron	chr2r	011104815	011106985	FBtr0333066	luna-RC	-	+0916	NA	NA	NA
Intron	chr2r	011148659	011150047	FBtr0330603	CG13229-RC	-	+22853	NA	NA	NA
5'UTR	chr2r	011173815	011175555	FBtr0330620	shn-RF	+	+0882	NA	NA	NA
Intron	chr2r	011181149	011181494	FBtr0330620	shn-RF	+	+7518	NA	NA	NA
Intron	chr2r	011182131	011182380	FBtr0330620	shn-RF	+	+8452	NA	NA	NA
5'UTR	chr2r	011197607	011200390	FBtr0088099	shn-RB	+	+0722	NA	NA	NA
Intron	chr2r	011200483	011200875	FBtr0088099	shn-RB	+	+2403	NA	NA	NA
Intron	chr2r	011201656	011202132	FBtr0088099	shn-RB	+	+3618	NA	NA	NA
Intron	chr2r	011203904	011207807	FBtr0088100	shn-RC	+	+1226	NA	NA	NA
Exon/CD	chr2r	011208080	011208710	FBtr0088100	shn-RC	+	+3766	NA	NA	NA
Intron	chr2r	011218036	011218375	FBtr0330635	CG9084-RC	-	+1036	NA	NA	NA
5'UTR	chr2r	011219494	011220651	FBtr0088104	Syx6-RD	+	+0138	NA	NA	NA
Intron	chr2r	011222726	011223887	FBtr0088105	CG7737-RA	+	+0435	NA	NA	NA
Intron	chr2r	011231566	011231970	FBtr0114569	metro-RB	-	+0748	NA	NA	NA
5'UTR	chr2r	011232075	011232445	FBtr0114569	metro-RB	-	+0256	NA	NA	NA
Exon/CD	chr2r	011259398	011259675	FBtr0088189	Cpr47Ec-RA	-	+0440	NA	NA	NA
5'UTR	chr2r	011278775	011280905	FBtr0088115	Vhl-RA	+	+0115	NA	NA	NA
Exon/CD	chr2r	011281121	011281766	FBtr0332422	CG9062-RC	-	+2528	NA	NA	NA
Exon/CD	chr2r	011282075	011285305	FBtr0332422	CG9062-RC	-	+0281	NA	NA	NA
Intron	chr2r	011287524	011289733	FBtr0088180	Fbl6-RA	-	+1144	NA	NA	NA
Exon/CD	chr2r	011289895	011290213	FBtr0088177	CG18335-RA	-	+1042	NA	NA	NA
Intron	chr2r	011291965	011293373	FBtr0303156	CG30033-RC	+	+0138	NA	NA	NA
Exon/CD	chr2r	011294024	011294298	FBtr0336733	CG18336-RB	-	+0158	NA	NA	NA
Intron	chr2r	011294638	011297563	FBtr0299856	CG42336-RE	-	+0115	NA	NA	NA
Exon/CD	chr2r	011303349	011304953	FBtr0339481	CG7741-RC	+	+0656	NA	NA	NA
5'UTR	chr2r	011305883	011309106	FBtr0088170	Fpps-RA	-	+0034	NA	NA	NA
Exon/CD	chr2r	011340914	011341311	FBtr0088163	etaTry-RA	-	+0311	NA	NA	NA
Exon/CD	chr2r	011357279	011357490	FBtr0088125	iotaTry-RA	+	+0664	NA	NA	NA
Intron	chr2r	011357879	011360192	FBtr0088155	CG12384-RA	-	+0141	NA	NA	NA
Upstream	chr2r	011360305	011360527	FBtr0088154	ix-RA	-	-0253	NA	NA	NA
Exon/CD	chr2r	011360673	011361801	FBtr0088126	san-RA	+	+0531	NA	NA	NA
Upstream	chr2r	011365980	011366469	FBtr0088128	CG13204-RA	+	-0486	NA	NA	NA
Exon/CD	chr2r	011366706	011371143	FBtr0088129	CG13204-RB	+	+0638	NA	NA	NA
Intron	chr2r	011382471	011384150	FBtr0110897	Sod3-RD	-	+0804	NA	NA	NA
Intron	chr2r	011387714	011388758	FBtr0088146	sprt-RA	-	+9196	NA	NA	NA
Intron	chr2r	011396428	011397329	FBtr0088146	sprt-RA	-	+0554	NA	NA	NA
Intron	chr2r	011436452	011436682	FBtr0339544	CG7777-RD	+	+0324	NA	NA	NA
Intron	chr2r	011437035	011437813	FBtr0339544	CG7777-RD	+	+1181	NA	NA	NA
Intron	chr2r	011443054	011443287	FBtr0339545	qvr-RC	+	+0665	NA	NA	NA
5'UTR	chr2r	011452019	011452350	FBtr0330622	E(Pc)-RD	+	+0141	NA	NA	NA
5'UTR	chr2r	011452507	011454717	FBtr0330621	E(Pc)-RC	+	+0843	NA	NA	NA
5'UTR	chr2r	011474944	011475531	FBtr0088068	inv-RD	+	+0772	NA	NA	NA
Exon/CD	chr2r	011475692	011477355	FBtr0345673	inv-RE	+	+0815	NA	NA	NA
Intron	chr2r	011477558	011477772	FBtr0345673	inv-RE	+	+1957	NA	NA	NA
Intron	chr2r	011477993	011478228	FBtr0345673	inv-RE	+	+2402	NA	NA	NA
Intron	chr2r	011525451	011527161	FBtr0088096	en-RA	-	+1577	NA	NA	NA
5'UTR	chr2r	011527472	011528293	FBtr0088096	en-RA	-	+0001	NA	NA	NA
Upstream	chr2r	011528408	011529476	FBtr0088095	en-RB	-	-0732	NA	NA	NA
Upstream	chr2r	011529749	011530029	FBtr0088095	en-RB	-	-1679	NA	NA	NA
Upstream	chr2r	011591596	011594055	FBtr0091640	snoRNA	-	-1340	NA	NA	NA
Upstream	chr2r	011594335	011594625	FBtr0091640	snoRNA	-	-2995	NA	NA	NA
Upstream	chr2r	011613068	011613535	FBtr0333069	CR43907-RA	+	-2894	NA	NA	NA
Upstream	chr2r	011613633	011614236	FBtr0333069	CR43907-RA	+	-2261	NA	NA	NA
Upstream	chr2r	011614510	011617372	FBtr0333069	CR43907-RA	+	-0254	NA	NA	NA
Exon/CD	chr2r	011617592	011619056	FBtr0088090	Egm-RA	-	+0699	NA	NA	NA
Intron	chr2r	011629108	011629326	FBtr0300945	CG9005-RB	-	+3298	NA	NA	NA
Intron	chr2r	011629967	011633191	FBtr0300945	CG9005-RB	-	+0936	NA	NA	NA
Intron	chr2r	011633743	011634233	FBtr0306029	CG9005-RC	-	+6953	NA	NA	NA
Intron	chr2r	011637070	011637293	FBtr0306029	CG9005-RC	-	+3760	NA	NA	NA
Intron	chr2r	011639216	011640964	FBtr0306029	CG9005-RC	-	+0851	NA	NA	NA
Exon/CD	chr2r	011645504	011645780	FBtr0113067	CG9003-RB	-	+0587	NA	NA	NA
Intron	chr2r	011646269	011646721	FBtr0330634	CG9003-RG	-	+5121	NA	NA	NA
Intron	chr2r	011646857	011647332	FBtr0330634	CG9003-RG	-	+4522	NA	NA	NA
Intron	chr2r	011647419	011648481	FBtr0330634	CG9003-RG	-	+3666	NA	NA	NA
Intron	chr2r	011649527	011649760	FBtr0330632	CG9003-RE	-	+1973	NA	NA	NA
5'UTR	chr2r	011649824	011652524	FBtr0330632	CG9003-RE	-	+0442	NA	NA	NA
Intron	chr2r	011659367	011659752	FBtr0302211	Roc2-RB	-	+19795	NA	NA	NA
Intron	chr2r	011660787	011660995	FBtr0302211	Roc2-RB	-	+18463	NA	NA	NA
Intron	chr2r	011665747	011666644	FBtr0088073	Tret1-1-RA	+	+0427	NA	NA	NA
Intron	chr2r	011666829	011667226	FBtr0088073	Tret1-1-RA	+	+1259	NA	NA	NA
Exon/CD	chr2r	011669332	011670104	FBtr0088073	Tret1-1-RA	+	+3950	NA	NA	NA
Upstream	chr2r	011678571	011679841	FBtr0088077	Buffy-RA	+	-0286	NA	NA	NA
Intron	chr2r	011681681	011681889	FBtr0088077	Buffy-RA	+	+2293	NA	NA	NA
Intron	chr2r	011689060	011691189	FBtr0088083	wal-RB	-	+0739	NA	NA	NA
Intron	chr2r	011691249	011692226	FBtr0088078	CG13197-RA	+	+0452	NA	NA	NA
Intron	chr2r	011712302	011714027	FBtr0113070	pyr-RB	+	+0901	NA	NA	NA
Intron	chr2r	011825290	011826385	FBtr0088031	CG13192-RA	+	+0492	NA	NA	NA
Intron	chr2r	011837918	011838859	FBtr0345677	Sobp-RB	-	+1156	NA	NA	NA
Intron	chr2r	011838937	011839452	FBtr0345677	Sobp-RB	-	+0350	NA	NA	NA
3'UTR	chr2r	011841562	011842935	FBtr0088063	S2P-RA	-	+1992	NA	NA	NA
Exon/CD	chr2r	011843075	011844323	FBtr0088063	S2P-RA	-	+0541	NA	NA	NA
5'UTR	chr2r	011845684	011845992	FBtr0088032	Sln-RA	+	+0514	NA	NA	NA
Exon/CD	chr2r	011852622	011854186	FBtr0088033	Mtor-RA	+	+0787	NA	NA	NA
Intron	chr2r	011884351	011885639	FBtr0310323	CG13185-RD	-	+0590	NA	NA	NA
Exon/CD	chr2r	011886067	011886501	FBtr0088034	cuff-RA	+	+0217	NA	NA	NA
Intron	chr2r	011888997	011890989	FBtr0088058	ERp60-RA	-	+0986	NA	NA	NA
Upstream	chr2r	011891168	011895713	FBtr0345022	Ef1alpha48D-RD	+	-0102	NA	NA	NA
Exon/CD	chr2r	011898938	011901870	FBtr0088038	Zip48C-RA	+	+0887	NA	NA	NA
Downstream	chr2r	011902886	011903926	FBtr0088054	reb-RA	-	+9373	NA	NA	NA
Intron	chr2r	011908328	011909049	FBtr0088054	reb-RA	-	+4091	NA	NA	NA
Intron	chr2r	011909355	011909614	FBtr0088054	reb-RA	-	+3295	NA	NA	NA
Intron	chr2r	011910076	011912670	FBtr0088054	reb-RA	-	+1406	NA	NA	NA
Upstream	chr2r	011913601	011914069	FBtr0088054	reb-RA	-	-1056	NA	NA	NA
Intron	chr2r	011939655	011940923	FBtr0088039	exp-RA	+	+0732	NA	NA	NA
Intron	chr2r	011941428	011941827	FBtr0088039	exp-RA	+	+2070	NA	NA	NA
Exon/CD	chr2r	011967554	011968852	FBtr0088052	PI31-RC	-	+0451	NA	NA	NA
Intron	chr2r	011970404	011971828	FBtr0346629	ADD1-RE	+	+0430	NA	NA	NA
